Address,City,State
"I-44, EXIT 283 & US-69",Big Cabin,OK
"I-94, EXIT 143 & US-12 & SR-21",Tomah,WI
"I-8, EXIT 119 & SR-85",Gila Bend,AZ
"I-8, EXIT 119 & SR-85",Gila Bend,AZ
"I-540, EXIT 12 & US-71",Fort Smith,AR
US-46,Columbia,NJ
"I-81, EXIT 273 & SR-703/SR-292",Mount Jackson,VA
"I-35,  EXIT 271",Jarrell,TX
"I-85,  EXIT 22 & CR-138",Shorter,AL
"I-65, EXIT 50 & US-50 & US-31",Seymour,IN
"I-29 & I-80, EXIT 3",Council Bluffs,IA
"I-94, EXIT 182 & US-83",Sterling,ND
US-50,Montrose,CO
US-13,Laurel,DE
US-13 & US-40,New Castle                              ,DE
"I-75, EXIT 224",Ellenton,FL
"I-70, EXIT 234",Dumont,CO
"I-20 & ST 22, EXIT 55",Crawfordville                           ,GA
"I-75, EXIT 144-B",Bridgeport,MI
"I-75, EXIT 144-B",Bridgeport,MI
"I-75, EXIT 144-B",Bridgeport,MI
"I-75, EXIT 144-B",Bridgeport,MI
"I-75, EXIT 144-B",Bridgeport,MI
"I-75, EXIT 144-B",Bridgeport,MI
"I-40, EXIT 359",Lupton,AZ
"I-10, EXIT 200",Eloy,AZ
US-41,Henderson,KY
"I-57 & I-70, EXIT 159",Effingham                               ,IL
"I-57 & I-70, EXIT 159",Effingham                               ,IL
"I-57 & I-70, EXIT 159",Effingham                               ,IL
"I-80, EXIT 27",Atkinson,IL
"I-80, EXIT 27",Atkinson,IL
"I-80, EXIT 27",Atkinson,IL
"I-69, EXIT 234 & SR-67",Daleville,IN
"I-69, EXIT 309 & US-30",Fort Wayne                              ,IN
"I-80, EXIT 211 & SR-47",Gothenburg,NE
"I-10, EXIT 343",Jacksonville,FL
"I-10, EXIT 343",Jacksonville,FL
"I-12, EXIT 10 AT MILE 10",Denham Springs                          ,LA
"I-94, EXIT 15 B",Lake Station                            ,IN
RT 2 & I-65 EXIT 240,Hebron,IN
US-59 & SR-224,Nacogdoches                             ,TX
"I-29 & I-80, EXIT 1B",Council Bluffs,IA
"I-90, EXIT 154 & US-16",Moorcroft                               ,WY
"I-35, EXIT 165 & SR-3",Latimer,IA
"I-35, EXIT 193 & SR 106",Clear Lake,IA
"I-80, EXIT 93",Stuart                                  ,IA
"I-40 & I-55, EXIT 280",West Memphis,AR
"I-76, EXIT 115",Atwood,CO
"I-70, EXIT 252",Salina,KS
"I-80/94, EXIT 2",Highland,IN
"I-80/94, EXIT 2",Highland,IN
SR-32,Sardinia                                ,OH
"I-10, EXIT 50",Ocean Springs,MS
"I-70, EXIT 252",Salina,KS
"I-75, EXIT 62 & US-25",Mount Vernon,KY
"I-75, EXIT 358",Ocala,FL
"I-75, EXIT 358",Ocala,FL
"I-10, EXIT 153 & SR-1",Port Allen,LA
US-41 & SR-10,Lake Village,IN
"I-10, EXIT 92 & SR-95",Duson,LA
"I-10, EXIT 236",New Orleans,LA
"I-70/US-40, EXIT 159 & US-183",Hays,KS
"I-40, EXIT 280 & I-55, EXIT 4",West Memphis,AR
"I-68/US-40, EXIT 22 & US-219",Grantsville                             ,MD
I-15 & 31ST STREET EXIT 277,Great Falls                             ,MT
I-94 EXIT 16,Bridgman,MI
SR-154 & SR-129,Dodge City,KS
"I-75, EXIT 15",Monroe                                  ,MI
"I-75, EXIT 15",Monroe                                  ,MI
"I-75, EXIT 15",Monroe                                  ,MI
"I-75, EXIT 15",Monroe                                  ,MI
"I-75, EXIT 15",Monroe                                  ,MI
US-41,Carlisle,IN
"I-65, EXIT 76 & US-31",Taylorsville,IN
"I-70, MM 209",Lawrence,KS
US-169 & CR-5000,Cherryvale,KS
"I-35, MILE MARKER 97",Matfield Green,KS
"I-91, EXIT 4",Springfield,MA
"I-635, EXIT 3",Kansas City,KS
"I-80, EXIT 126",Ogallala,NE
"I-15, EXIT 357",Willard                                 ,UT
"I-95, EXIT 329",Saint Johns,FL
I-90/80-IN TOLL RD MM 22E,Portage,IN
"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY
"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY
"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY
"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY
"I-295, EXIT 25",Jacksonville,FL
"I-87, EXIT 16",Gansevoort                              ,NY
"I-87, EXIT 16",Gansevoort                              ,NY
"I-94, EXIT 5",Hammond,IN
US-69 & US-135,Jacksonville,TX
"I-8, EXIT 12",Yuma,AZ
"I-71, EXIT 131",Sunbury,OH
"I-71, EXIT 209",Seville,OH
"I-70, EXIT 126 & SR-37",Hebron,OH
"I-80 & I-280, EXIT 71",Perrysburg                              ,OH
"I-40 & I-35, EXIT 127",Oklahoma City,OK
"I-40, EXIT 166",Choctaw,OK
"I-16, EXIT 51",Dublin                                  ,GA
US-385 & SR-2,Alliance,NE
"I-95, EXIT 104 & SR-207",Ruther Glen,VA
US-24,Woodburn                                ,IN
I-29 EXIT 110,Rock Port,MO
I-20 EXIT 44,Gilbert,SC
"I-26, EXIT 145 & US-601",Orangeburg,SC
US-160 & SR-17,Alamosa,CO
"I-20, EXIT 169 & US-80",Toomsuba,MS
"I-29, EXIT 215",Pembina                                 ,ND
US-54/SR-136/SR-3 & US-64,Guymon,OK
"I-35 N, EXIT 4",Laredo                                  ,TX
US-87 & US-191,Moore,MT
"I-75, EXIT 117",Heiskell,TN
"I-40 & I-75, EXIT 374",Knoxville,TN
"I-10, EXIT 140B",Van Horn,TX
"I-10, EXIT 140B",Van Horn,TX
"I-70 & ST-285, EXIT 186",Lore City                               ,OH
"I-985, EXIT 20 & SR-60",Gainesville,GA
US-45 ALT,West Point,MS
US-30,Wanatah,IN
"I-80, EXIT 73",Peru,IL
"I-80, EXIT 73",Peru,IL
"I-80, EXIT 73",Peru,IL
"I-80, EXIT 73",Peru,IL
"I-40, EXIT 142",Maumelle,AR
"I-80/I-94, EXIT 6",Gary,IN
"I-10 & I-8, EXIT 203",Eloy,AZ
"I-69, EXIT 309A",Fort Wayne                              ,IN
"I-69, EXIT 309A",Fort Wayne                              ,IN
"I-10, EXIT 76",Egan,LA
"I-84, EXIT 17",Troutdale,OR
"I-80, EXIT 104 & US-191",Rock Springs,WY
"I-82, EXIT 80",Prosser,WA
"I-82, EXIT 80",Prosser,WA
"I-20/I-59, EXIT 77",Cottondale,AL
"I-70, EXIT 58 & SR-23",Concordia,MO
"I-80, EXIT 59 & SR-17J",Sidney,NE
"I-89/SR-120, EXIT 18 & SR-120",Lebanon,NH
"I-84, EXIT 5",Montgomery,NY
"I-90,  EXIT 218",Geneva,OH
TCH-16,Edmonton,AB
TCH-16,Edmonton,AB
TCH-16,Edmonton,AB
TCH-16,Edmonton,AB
TCH-16,Edmonton,AB
TCH-16,Edmonton,AB
"I-5, EXIT 233 E",Albany,OR
"I-40, EXIT 126 & US-641",Holladay,TN
"I-40 & I-75, EXIT 374",Knoxville,TN
HWY 2 SOUTH,Nanton,AB
HWY 2 SOUTH,Nanton,AB
HWY 2 SOUTH,Nanton,AB
HWY 2 SOUTH,Nanton,AB
HWY 2 SOUTH,Nanton,AB
HWY 2 SOUTH,Nanton,AB
"I-10,  EXIT 4",Canutillo,TX
"I-295/US-130,EXIT 22",Thorofare,NJ
"I-29, EXIT 207 & US-12",Summit,SD
"I-86/SR-17, EXIT 16",Randolph,NY
"I-235, EXIT 4",Wichita,KS
US-63,Ottumwa,IA
US-23,Greenup,KY
US-85,Evans,CO
US-61/US-136,Alexandria,MO
"US-18/SR-151, EXIT 58",Barneveld,WI
US-41 & SR-137,North Chicago,IL
US-41 & SR-137,North Chicago,IL
US-41 & SR-137,North Chicago,IL
US-301/SR-73,Sylvania,GA
